date,product,venue,sales
2023-01-01,Milk,Mumbai_Store_1,178
2023-01-02,Milk,Mumbai_Store_1,152
2023-01-03,Milk,Mumbai_Store_1,161
2023-01-04,Milk,Mumbai_Store_1,154
2023-01-05,Milk,Mumbai_Store_1,147
2023-01-06,Milk,Mumbai_Store_1,144
2023-01-07,Milk,Mumbai_Store_1,160
2023-01-08,Milk,Mumbai_Store_1,168
2023-01-09,Milk,Mumbai_Store_1,142
2023-01-10,Milk,Mumbai_Store_1,146
2023-01-11,Milk,Mumbai_Store_1,156
2023-01-12,Milk,Mumbai_Store_1,162
2023-01-13,Milk,Mumbai_Store_1,154
2023-01-14,Milk,Mumbai_Store_1,169
2023-01-15,Milk,Mumbai_Store_1,179
2023-01-16,Milk,Mumbai_Store_1,143
2023-01-17,Milk,Mumbai_Store_1,161
2023-01-18,Milk,Mumbai_Store_1,151
2023-01-19,Milk,Mumbai_Store_1,157
2023-01-20,Milk,Mumbai_Store_1,151
2023-01-21,Milk,Mumbai_Store_1,169
2023-01-22,Milk,Mumbai_Store_1,156
2023-01-23,Milk,Mumbai_Store_1,157
2023-01-24,Milk,Mumbai_Store_1,155
2023-01-25,Milk,Mumbai_Store_1,153
2023-01-26,Milk,Mumbai_Store_1,150
2023-01-27,Milk,Mumbai_Store_1,141
2023-01-28,Milk,Mumbai_Store_1,162
2023-01-29,Milk,Mumbai_Store_1,158
2023-01-30,Milk,Mumbai_Store_1,149
2023-01-31,Milk,Mumbai_Store_1,163
2023-02-01,Milk,Mumbai_Store_1,149
2023-02-02,Milk,Mumbai_Store_1,149
2023-02-03,Milk,Mumbai_Store_1,157
2023-02-04,Milk,Mumbai_Store_1,171
2023-02-05,Milk,Mumbai_Store_1,163
2023-02-06,Milk,Mumbai_Store_1,153
2023-02-07,Milk,Mumbai_Store_1,155
2023-02-08,Milk,Mumbai_Store_1,157
2023-02-09,Milk,Mumbai_Store_1,151
2023-02-10,Milk,Mumbai_Store_1,151
2023-02-11,Milk,Mumbai_Store_1,159
2023-02-12,Milk,Mumbai_Store_1,164
2023-02-13,Milk,Mumbai_Store_1,160
2023-02-14,Milk,Mumbai_Store_1,141
2023-02-15,Milk,Mumbai_Store_1,141
2023-02-16,Milk,Mumbai_Store_1,152
2023-02-17,Milk,Mumbai_Store_1,151
2023-02-18,Milk,Mumbai_Store_1,167
2023-02-19,Milk,Mumbai_Store_1,164
2023-02-20,Milk,Mumbai_Store_1,143
2023-02-21,Milk,Mumbai_Store_1,143
2023-02-22,Milk,Mumbai_Store_1,155
2023-02-23,Milk,Mumbai_Store_1,139
2023-02-24,Milk,Mumbai_Store_1,143
2023-02-25,Milk,Mumbai_Store_1,168
2023-02-26,Milk,Mumbai_Store_1,156
2023-02-27,Milk,Mumbai_Store_1,156
2023-02-28,Milk,Mumbai_Store_1,154
2023-03-01,Milk,Mumbai_Store_1,148
2023-03-02,Milk,Mumbai_Store_1,143
2023-03-03,Milk,Mumbai_Store_1,159
2023-03-04,Milk,Mumbai_Store_1,162
2023-03-05,Milk,Mumbai_Store_1,161
2023-03-06,Milk,Mumbai_Store_1,155
2023-03-07,Milk,Mumbai_Store_1,160
2023-03-08,Milk,Mumbai_Store_1,147
2023-03-09,Milk,Mumbai_Store_1,157
2023-03-10,Milk,Mumbai_Store_1,145
2023-03-11,Milk,Mumbai_Store_1,171
2023-03-12,Milk,Mumbai_Store_1,158
2023-03-13,Milk,Mumbai_Store_1,145
2023-03-14,Milk,Mumbai_Store_1,164
2023-03-15,Milk,Mumbai_Store_1,145
2023-03-16,Milk,Mumbai_Store_1,149
2023-03-17,Milk,Mumbai_Store_1,149
2023-03-18,Milk,Mumbai_Store_1,154
2023-03-19,Milk,Mumbai_Store_1,168
2023-03-20,Milk,Mumbai_Store_1,156
2023-03-21,Milk,Mumbai_Store_1,148
2023-03-22,Milk,Mumbai_Store_1,153
2023-03-23,Milk,Mumbai_Store_1,162
2023-03-24,Milk,Mumbai_Store_1,140
2023-03-25,Milk,Mumbai_Store_1,172
2023-03-26,Milk,Mumbai_Store_1,175
2023-03-27,Milk,Mumbai_Store_1,153
2023-03-28,Milk,Mumbai_Store_1,139
2023-03-29,Milk,Mumbai_Store_1,141
2023-03-30,Milk,Mumbai_Store_1,139
2023-03-31,Milk,Mumbai_Store_1,142
2023-04-01,Milk,Mumbai_Store_1,172
2023-04-02,Milk,Mumbai_Store_1,163
2023-04-03,Milk,Mumbai_Store_1,146
2023-04-04,Milk,Mumbai_Store_1,154
2023-04-05,Milk,Mumbai_Store_1,158
2023-04-06,Milk,Mumbai_Store_1,144
2023-04-07,Milk,Mumbai_Store_1,143
2023-04-08,Milk,Mumbai_Store_1,162
2023-04-09,Milk,Mumbai_Store_1,165
2023-04-10,Milk,Mumbai_Store_1,154
2023-04-11,Milk,Mumbai_Store_1,159
2023-04-12,Milk,Mumbai_Store_1,164
2023-04-13,Milk,Mumbai_Store_1,141
2023-04-14,Milk,Mumbai_Store_1,162
2023-04-15,Milk,Mumbai_Store_1,179
2023-04-16,Milk,Mumbai_Store_1,159
2023-04-17,Milk,Mumbai_Store_1,144
2023-04-18,Milk,Mumbai_Store_1,144
2023-04-19,Milk,Mumbai_Store_1,155
2023-04-20,Milk,Mumbai_Store_1,160
2023-04-21,Milk,Mumbai_Store_1,148
2023-04-22,Milk,Mumbai_Store_1,167
2023-04-23,Milk,Mumbai_Store_1,175
2023-04-24,Milk,Mumbai_Store_1,156
2023-04-25,Milk,Mumbai_Store_1,138
2023-04-26,Milk,Mumbai_Store_1,156
2023-04-27,Milk,Mumbai_Store_1,147
2023-04-28,Milk,Mumbai_Store_1,153
2023-04-29,Milk,Mumbai_Store_1,156
2023-04-30,Milk,Mumbai_Store_1,169
2023-05-01,Milk,Mumbai_Store_1,163
2023-05-02,Milk,Mumbai_Store_1,144
2023-05-03,Milk,Mumbai_Store_1,156
2023-05-04,Milk,Mumbai_Store_1,147
2023-05-05,Milk,Mumbai_Store_1,149
2023-05-06,Milk,Mumbai_Store_1,173
2023-05-07,Milk,Mumbai_Store_1,175
2023-05-08,Milk,Mumbai_Store_1,147
2023-05-09,Milk,Mumbai_Store_1,155
2023-05-10,Milk,Mumbai_Store_1,143
2023-05-11,Milk,Mumbai_Store_1,147
2023-05-12,Milk,Mumbai_Store_1,140
2023-05-13,Milk,Mumbai_Store_1,155
2023-05-14,Milk,Mumbai_Store_1,169
2023-05-15,Milk,Mumbai_Store_1,155
2023-05-16,Milk,Mumbai_Store_1,150
2023-05-17,Milk,Mumbai_Store_1,139
2023-05-18,Milk,Mumbai_Store_1,139
2023-05-19,Milk,Mumbai_Store_1,155
2023-05-20,Milk,Mumbai_Store_1,159
2023-05-21,Milk,Mumbai_Store_1,160
2023-05-22,Milk,Mumbai_Store_1,137
2023-05-23,Milk,Mumbai_Store_1,143
2023-05-24,Milk,Mumbai_Store_1,142
2023-05-25,Milk,Mumbai_Store_1,153
2023-05-26,Milk,Mumbai_Store_1,152
2023-05-27,Milk,Mumbai_Store_1,159
2023-05-28,Milk,Mumbai_Store_1,164
2023-05-29,Milk,Mumbai_Store_1,157
2023-05-30,Milk,Mumbai_Store_1,139
2023-05-31,Milk,Mumbai_Store_1,160
2023-06-01,Milk,Mumbai_Store_1,139
2023-06-02,Milk,Mumbai_Store_1,162
2023-06-03,Milk,Mumbai_Store_1,166
2023-06-04,Milk,Mumbai_Store_1,161
2023-06-05,Milk,Mumbai_Store_1,157
2023-06-06,Milk,Mumbai_Store_1,159
2023-06-07,Milk,Mumbai_Store_1,147
2023-06-08,Milk,Mumbai_Store_1,147
2023-06-09,Milk,Mumbai_Store_1,160
2023-06-10,Milk,Mumbai_Store_1,160
2023-06-11,Milk,Mumbai_Store_1,167
2023-06-12,Milk,Mumbai_Store_1,158
2023-06-13,Milk,Mumbai_Store_1,152
2023-06-14,Milk,Mumbai_Store_1,140
2023-06-15,Milk,Mumbai_Store_1,158
2023-06-16,Milk,Mumbai_Store_1,151
2023-06-17,Milk,Mumbai_Store_1,158
2023-06-18,Milk,Mumbai_Store_1,159
2023-06-19,Milk,Mumbai_Store_1,152
2023-06-20,Milk,Mumbai_Store_1,152
2023-06-21,Milk,Mumbai_Store_1,144
2023-06-22,Milk,Mumbai_Store_1,163
2023-06-23,Milk,Mumbai_Store_1,156
2023-06-24,Milk,Mumbai_Store_1,166
2023-06-25,Milk,Mumbai_Store_1,171
2023-06-26,Milk,Mumbai_Store_1,151
2023-06-27,Milk,Mumbai_Store_1,144
2023-06-28,Milk,Mumbai_Store_1,152
2023-06-29,Milk,Mumbai_Store_1,146
2023-06-30,Milk,Mumbai_Store_1,145
2023-07-01,Milk,Mumbai_Store_1,168
2023-07-02,Milk,Mumbai_Store_1,162
2023-07-03,Milk,Mumbai_Store_1,153
2023-07-04,Milk,Mumbai_Store_1,148
2023-07-05,Milk,Mumbai_Store_1,160
2023-07-06,Milk,Mumbai_Store_1,164
2023-07-07,Milk,Mumbai_Store_1,150
2023-07-08,Milk,Mumbai_Store_1,164
2023-07-09,Milk,Mumbai_Store_1,161
2023-07-10,Milk,Mumbai_Store_1,138
2023-07-11,Milk,Mumbai_Store_1,160
2023-07-12,Milk,Mumbai_Store_1,148
2023-07-13,Milk,Mumbai_Store_1,143
2023-07-14,Milk,Mumbai_Store_1,146
2023-07-15,Milk,Mumbai_Store_1,163
2023-07-16,Milk,Mumbai_Store_1,169
2023-07-17,Milk,Mumbai_Store_1,146
2023-07-18,Milk,Mumbai_Store_1,154
2023-07-19,Milk,Mumbai_Store_1,151
2023-07-20,Milk,Mumbai_Store_1,153
2023-07-21,Milk,Mumbai_Store_1,150
2023-07-22,Milk,Mumbai_Store_1,171
2023-07-23,Milk,Mumbai_Store_1,161
2023-07-24,Milk,Mumbai_Store_1,141
2023-07-25,Milk,Mumbai_Store_1,151
2023-07-26,Milk,Mumbai_Store_1,144
2023-07-27,Milk,Mumbai_Store_1,141
2023-07-28,Milk,Mumbai_Store_1,155
2023-07-29,Milk,Mumbai_Store_1,179
2023-07-30,Milk,Mumbai_Store_1,159
2023-07-31,Milk,Mumbai_Store_1,144
2023-08-01,Milk,Mumbai_Store_1,159
2023-08-02,Milk,Mumbai_Store_1,158
2023-08-03,Milk,Mumbai_Store_1,138
2023-08-04,Milk,Mumbai_Store_1,163
2023-08-05,Milk,Mumbai_Store_1,164
2023-08-06,Milk,Mumbai_Store_1,154
2023-08-07,Milk,Mumbai_Store_1,139
2023-08-08,Milk,Mumbai_Store_1,151
2023-08-09,Milk,Mumbai_Store_1,150
2023-08-10,Milk,Mumbai_Store_1,137
2023-08-11,Milk,Mumbai_Store_1,153
2023-08-12,Milk,Mumbai_Store_1,163
2023-08-13,Milk,Mumbai_Store_1,171
2023-08-14,Milk,Mumbai_Store_1,145
2023-08-15,Milk,Mumbai_Store_1,162
2023-08-16,Milk,Mumbai_Store_1,153
2023-08-17,Milk,Mumbai_Store_1,155
2023-08-18,Milk,Mumbai_Store_1,140
2023-08-19,Milk,Mumbai_Store_1,166
2023-08-20,Milk,Mumbai_Store_1,164
2023-08-21,Milk,Mumbai_Store_1,161
2023-08-22,Milk,Mumbai_Store_1,148
2023-08-23,Milk,Mumbai_Store_1,149
2023-08-24,Milk,Mumbai_Store_1,149
2023-08-25,Milk,Mumbai_Store_1,139
2023-08-26,Milk,Mumbai_Store_1,157
2023-08-27,Milk,Mumbai_Store_1,169
2023-08-28,Milk,Mumbai_Store_1,150
2023-08-29,Milk,Mumbai_Store_1,141
2023-08-30,Milk,Mumbai_Store_1,155
2023-08-31,Milk,Mumbai_Store_1,147
2023-09-01,Milk,Mumbai_Store_1,153
2023-09-02,Milk,Mumbai_Store_1,179
2023-09-03,Milk,Mumbai_Store_1,166
2023-09-04,Milk,Mumbai_Store_1,156
2023-09-05,Milk,Mumbai_Store_1,156
2023-09-06,Milk,Mumbai_Store_1,163
2023-09-07,Milk,Mumbai_Store_1,146
2023-09-08,Milk,Mumbai_Store_1,164
2023-09-09,Milk,Mumbai_Store_1,170
2023-09-10,Milk,Mumbai_Store_1,158
2023-09-11,Milk,Mumbai_Store_1,156
2023-09-12,Milk,Mumbai_Store_1,160
2023-09-13,Milk,Mumbai_Store_1,144
2023-09-14,Milk,Mumbai_Store_1,160
2023-09-15,Milk,Mumbai_Store_1,147
2023-09-16,Milk,Mumbai_Store_1,170
2023-09-17,Milk,Mumbai_Store_1,167
2023-09-18,Milk,Mumbai_Store_1,143
2023-09-19,Milk,Mumbai_Store_1,148
2023-09-20,Milk,Mumbai_Store_1,159
2023-09-21,Milk,Mumbai_Store_1,155
2023-09-22,Milk,Mumbai_Store_1,148
2023-09-23,Milk,Mumbai_Store_1,163
2023-09-24,Milk,Mumbai_Store_1,172
2023-09-25,Milk,Mumbai_Store_1,154
2023-09-26,Milk,Mumbai_Store_1,163
2023-09-27,Milk,Mumbai_Store_1,142
2023-09-28,Milk,Mumbai_Store_1,146
2023-09-29,Milk,Mumbai_Store_1,162
2023-09-30,Milk,Mumbai_Store_1,167
2023-10-01,Milk,Mumbai_Store_1,196
2023-10-02,Milk,Mumbai_Store_1,176
2023-10-03,Milk,Mumbai_Store_1,177
2023-10-04,Milk,Mumbai_Store_1,170
2023-10-05,Milk,Mumbai_Store_1,185
2023-10-06,Milk,Mumbai_Store_1,177
2023-10-07,Milk,Mumbai_Store_1,201
2023-10-08,Milk,Mumbai_Store_1,180
2023-10-09,Milk,Mumbai_Store_1,188
2023-10-10,Milk,Mumbai_Store_1,176
2023-10-11,Milk,Mumbai_Store_1,164
2023-10-12,Milk,Mumbai_Store_1,182
2023-10-13,Milk,Mumbai_Store_1,186
2023-10-14,Milk,Mumbai_Store_1,182
2023-10-15,Milk,Mumbai_Store_1,191
2023-10-16,Milk,Mumbai_Store_1,177
2023-10-17,Milk,Mumbai_Store_1,182
2023-10-18,Milk,Mumbai_Store_1,176
2023-10-19,Milk,Mumbai_Store_1,167
2023-10-20,Milk,Mumbai_Store_1,183
2023-10-21,Milk,Mumbai_Store_1,202
2023-10-22,Milk,Mumbai_Store_1,193
2023-10-23,Milk,Mumbai_Store_1,170
2023-10-24,Milk,Mumbai_Store_1,181
2023-10-25,Milk,Mumbai_Store_1,184
2023-10-26,Milk,Mumbai_Store_1,174
2023-10-27,Milk,Mumbai_Store_1,178
2023-10-28,Milk,Mumbai_Store_1,189
2023-10-29,Milk,Mumbai_Store_1,193
2023-10-30,Milk,Mumbai_Store_1,183
2023-10-31,Milk,Mumbai_Store_1,173
2023-11-01,Milk,Mumbai_Store_1,186
2023-11-02,Milk,Mumbai_Store_1,166
2023-11-03,Milk,Mumbai_Store_1,183
2023-11-04,Milk,Mumbai_Store_1,183
2023-11-05,Milk,Mumbai_Store_1,199
2023-11-06,Milk,Mumbai_Store_1,184
2023-11-07,Milk,Mumbai_Store_1,172
2023-11-08,Milk,Mumbai_Store_1,183
2023-11-09,Milk,Mumbai_Store_1,167
2023-11-10,Milk,Mumbai_Store_1,163
2023-11-11,Milk,Mumbai_Store_1,191
2023-11-12,Milk,Mumbai_Store_1,191
2023-11-13,Milk,Mumbai_Store_1,178
2023-11-14,Milk,Mumbai_Store_1,171
2023-11-15,Milk,Mumbai_Store_1,164
2023-11-16,Milk,Mumbai_Store_1,183
2023-11-17,Milk,Mumbai_Store_1,167
2023-11-18,Milk,Mumbai_Store_1,185
2023-11-19,Milk,Mumbai_Store_1,184
2023-11-20,Milk,Mumbai_Store_1,170
2023-11-21,Milk,Mumbai_Store_1,175
2023-11-22,Milk,Mumbai_Store_1,173
2023-11-23,Milk,Mumbai_Store_1,182
2023-11-24,Milk,Mumbai_Store_1,183
2023-11-25,Milk,Mumbai_Store_1,190
2023-11-26,Milk,Mumbai_Store_1,198
2023-11-27,Milk,Mumbai_Store_1,162
2023-11-28,Milk,Mumbai_Store_1,170
2023-11-29,Milk,Mumbai_Store_1,175
2023-11-30,Milk,Mumbai_Store_1,168
2023-12-01,Milk,Mumbai_Store_1,165
2023-12-02,Milk,Mumbai_Store_1,188
2023-12-03,Milk,Mumbai_Store_1,192
2023-12-04,Milk,Mumbai_Store_1,184
2023-12-05,Milk,Mumbai_Store_1,180
2023-12-06,Milk,Mumbai_Store_1,176
2023-12-07,Milk,Mumbai_Store_1,174
2023-12-08,Milk,Mumbai_Store_1,173
2023-12-09,Milk,Mumbai_Store_1,183
2023-12-10,Milk,Mumbai_Store_1,195
2023-12-11,Milk,Mumbai_Store_1,181
2023-12-12,Milk,Mumbai_Store_1,166
2023-12-13,Milk,Mumbai_Store_1,167
2023-12-14,Milk,Mumbai_Store_1,182
2023-12-15,Milk,Mumbai_Store_1,173
2023-12-16,Milk,Mumbai_Store_1,197
2023-12-17,Milk,Mumbai_Store_1,189
2023-12-18,Milk,Mumbai_Store_1,187
2023-12-19,Milk,Mumbai_Store_1,181
2023-12-20,Milk,Mumbai_Store_1,167
2023-12-21,Milk,Mumbai_Store_1,171
2023-12-22,Milk,Mumbai_Store_1,165
2023-12-23,Milk,Mumbai_Store_1,199
2023-12-24,Milk,Mumbai_Store_1,197
2023-12-25,Milk,Mumbai_Store_1,184
2023-12-26,Milk,Mumbai_Store_1,172
2023-12-27,Milk,Mumbai_Store_1,172
2023-12-28,Milk,Mumbai_Store_1,166
2023-12-29,Milk,Mumbai_Store_1,188
2023-12-30,Milk,Mumbai_Store_1,197
2023-12-31,Milk,Mumbai_Store_1,182
2023-01-01,Bread,Mumbai_Store_1,155
2023-01-02,Bread,Mumbai_Store_1,131
2023-01-03,Bread,Mumbai_Store_1,138
2023-01-04,Bread,Mumbai_Store_1,146
2023-01-05,Bread,Mumbai_Store_1,140
2023-01-06,Bread,Mumbai_Store_1,151
2023-01-07,Bread,Mumbai_Store_1,161
2023-01-08,Bread,Mumbai_Store_1,163
2023-01-09,Bread,Mumbai_Store_1,147
2023-01-10,Bread,Mumbai_Store_1,136
2023-01-11,Bread,Mumbai_Store_1,129
2023-01-12,Bread,Mumbai_Store_1,133
2023-01-13,Bread,Mumbai_Store_1,131
2023-01-14,Bread,Mumbai_Store_1,162
2023-01-15,Bread,Mumbai_Store_1,163
2023-01-16,Bread,Mumbai_Store_1,146
